river,date2,flow
WB JIMMY,7/15/2002,0.007504401
WB JIMMY,7/16/2002,0.009042885
WB JIMMY,7/17/2002,0.007504401
WB JIMMY,7/18/2002,0.006917229
WB JIMMY,7/19/2002,0.026780533
WB JIMMY,7/20/2002,0.021535916
WB JIMMY,7/21/2002,0.013718974
WB JIMMY,7/22/2002,0.01098266
WB JIMMY,7/23/2002,0.01098266
WB JIMMY,7/24/2002,0.017959559
WB JIMMY,7/25/2002,0.011914928
WB JIMMY,7/26/2002,0.010026554
WB JIMMY,7/27/2002,0.009042885
WB JIMMY,7/28/2002,0.008539233
WB JIMMY,7/29/2002,0.008539233
WB JIMMY,7/30/2002,0.008026711
WB JIMMY,7/31/2002,0.006917229
WB JIMMY,8/1/2002,0.006971198
WB JIMMY,8/2/2002,0.011914928
WB JIMMY,8/3/2002,0.014158953
WB JIMMY,8/4/2002,0.01098266
WB JIMMY,8/5/2002,0.009042885
WB JIMMY,8/6/2002,0.008026711
WB JIMMY,8/7/2002,0.006971198
WB JIMMY,8/8/2002,0.006590761
WB JIMMY,8/9/2002,0.006259478
WB JIMMY,8/10/2002,0.005866346
WB JIMMY,8/11/2002,0.005638214
WB JIMMY,8/12/2002,0.005407342
WB JIMMY,8/13/2002,0.005349174
WB JIMMY,8/14/2002,0.0049366
WB JIMMY,8/15/2002,0.004756689
WB JIMMY,8/16/2002,0.004696276
WB JIMMY,8/17/2002,0.004696276
WB JIMMY,8/18/2002,0.004328822
WB JIMMY,8/19/2002,0.00401549
WB JIMMY,8/20/2002,0.004328822
WB JIMMY,8/21/2002,0.004513645
WB JIMMY,8/22/2002,0.004266701
WB JIMMY,8/23/2002,0.004452288
WB JIMMY,8/24/2002,0.0049366
WB JIMMY,8/25/2002,0.005523131
WB JIMMY,8/26/2002,0.005173541
WB JIMMY,8/27/2002,0.004513645
WB JIMMY,8/28/2002,0.004078715
WB JIMMY,8/29/2002,0.013274818
WB JIMMY,8/30/2002,0.018366684
WB JIMMY,8/31/2002,0.010507797
WB JIMMY,9/1/2002,0.008026711
WB JIMMY,9/2/2002,0.007504401
WB JIMMY,9/3/2002,0.007504401
WB JIMMY,9/4/2002,0.006645496
WB JIMMY,9/5/2002,0.006147912
WB JIMMY,9/6/2002,0.005523131
WB JIMMY,9/7/2002,0.005232277
WB JIMMY,9/8/2002,0.0049366
WB JIMMY,9/9/2002,0.004696276
WB JIMMY,9/10/2002,0.004696276
WB JIMMY,9/11/2002,0.004452288
WB JIMMY,9/12/2002,0.004078715
WB JIMMY,9/13/2002,0.003694812
WB JIMMY,9/14/2002,0.003759581
WB JIMMY,9/15/2002,0.00401549
WB JIMMY,9/16/2002,0.015455784
WB JIMMY,9/17/2002,0.009538439
WB JIMMY,9/18/2002,0.006808918
WB JIMMY,9/19/2002,0.006035749
WB JIMMY,9/20/2002,0.00558076
WB JIMMY,9/21/2002,0.00529082
WB JIMMY,9/22/2002,0.004996143
WB JIMMY,9/23/2002,0.005173541
WB JIMMY,9/24/2002,0.004756689
WB JIMMY,9/25/2002,0.004635634
WB JIMMY,9/26/2002,0.004996143
WB JIMMY,9/27/2002,0.01098266
WB JIMMY,9/28/2002,0.018771179
WB JIMMY,9/29/2002,0.011451576
WB JIMMY,9/30/2002,0.008026711
WB JIMMY,10/1/2002,0.009042885
WB JIMMY,10/2/2002,0.010026554
WB JIMMY,10/3/2002,0.010507797
WB JIMMY,10/4/2002,0.009042885
WB JIMMY,10/5/2002,0.010026554
WB JIMMY,10/6/2002,0.009042885
WB JIMMY,10/7/2002,0.008026711
WB JIMMY,10/8/2002,0.007504401
WB JIMMY,10/9/2002,0.006971198
WB JIMMY,10/10/2002,0.006971198
WB JIMMY,10/11/2002,0.008026711
WB JIMMY,10/12/2002,0.069323511
WB JIMMY,10/13/2002,0.044838085
WB JIMMY,10/14/2002,0.027143134
WB JIMMY,10/15/2002,0.019173135
WB JIMMY,10/16/2002,0.034806428
WB JIMMY,10/17/2002,0.078232506
WB JIMMY,10/18/2002,0.035811534
WB JIMMY,10/19/2002,0.025315352
WB JIMMY,10/20/2002,0.020757169
WB JIMMY,10/21/2002,0.017959559
WB JIMMY,10/22/2002,0.019572635
WB JIMMY,10/23/2002,0.021147593
WB JIMMY,10/24/2002,0.017549711
WB JIMMY,10/25/2002,0.016302768
WB JIMMY,10/26/2002,0.027504321
WB JIMMY,10/27/2002,0.031391695
WB JIMMY,10/28/2002,0.022688855
WB JIMMY,10/29/2002,0.019173135
WB JIMMY,10/30/2002,0.017549711
WB JIMMY,10/31/2002,0.016721428
WB JIMMY,11/1/2002,0.015455784
WB JIMMY,11/2/2002,0.015027179
WB JIMMY,11/3/2002,0.014594959
WB JIMMY,11/4/2002,0.014594959
WB JIMMY,11/5/2002,0.015880931
WB JIMMY,11/6/2002,0.031044345
WB JIMMY,11/7/2002,0.038125477
WB JIMMY,11/8/2002,0.026416486
WB JIMMY,11/9/2002,0.024199988
WB JIMMY,11/10/2002,0.022688855
WB JIMMY,11/11/2002,0.021922196
WB JIMMY,11/12/2002,0.023069339
WB JIMMY,11/13/2002,0.057757369
WB JIMMY,11/14/2002,0.038778999
WB JIMMY,11/15/2002,0.030346195
WB JIMMY,11/16/2002,0.026416486
WB JIMMY,11/17/2002,0.06149276
WB JIMMY,11/18/2002,0.105830545
WB JIMMY,11/19/2002,0.062061474
WB JIMMY,11/20/2002,0.052762342
WB JIMMY,11/21/2002,0.050665301
WB JIMMY,11/22/2002,0.091449479
WB JIMMY,11/23/2002,0.106558339
WB JIMMY,11/24/2002,0.063758559
WB JIMMY,11/25/2002,0.053356992
WB JIMMY,11/26/2002,0.048237026
WB JIMMY,11/27/2002,0.046392097
WB JIMMY,11/28/2002,0.041361776
WB JIMMY,11/29/2002,0.038778999
WB JIMMY,11/30/2002,0.037797483
WB JIMMY,12/1/2002,0.036477025
WB JIMMY,12/2/2002,0.032770053
WB JIMMY,12/3/2002,0.029643304
WB JIMMY,12/4/2002,0.028222566
WB JIMMY,12/5/2002,0.027864122
WB JIMMY,12/6/2002,0.029643304
WB JIMMY,12/7/2002,0.029995354
WB JIMMY,12/8/2002,0.028935492
WB JIMMY,12/9/2002,0.026780533
WB JIMMY,12/10/2002,0.027504321
WB JIMMY,12/11/2002,0.027864122
WB JIMMY,12/12/2002,0.037138975
WB JIMMY,12/13/2002,0.037797483
WB JIMMY,12/14/2002,0.084527672
WB JIMMY,12/15/2002,0.104126611
WB JIMMY,12/16/2002,0.066558093
WB JIMMY,12/17/2002,0.050966417
WB JIMMY,12/18/2002,0.049758781
WB JIMMY,12/19/2002,0.04608253
WB JIMMY,12/20/2002,0.05216572
WB JIMMY,12/21/2002,0.070967285
WB JIMMY,12/22/2002,0.053059911
WB JIMMY,12/23/2002,0.04670106
WB JIMMY,12/24/2002,0.043268117
WB JIMMY,12/25/2002,0.04039893
WB JIMMY,12/26/2002,0.041041564
WB JIMMY,12/27/2002,0.041681262
WB JIMMY,12/28/2002,0.039753285
WB JIMMY,12/29/2002,0.037138975
WB JIMMY,12/30/2002,0.035811534
WB JIMMY,12/31/2002,0.035477429
WB JIMMY,1/1/2003,0.041041564
WB JIMMY,1/2/2003,0.073682462
WB JIMMY,1/3/2003,0.052464279
WB JIMMY,1/4/2003,0.051866658
WB JIMMY,1/5/2003,0.045461556
WB JIMMY,1/6/2003,0.042635456
WB JIMMY,1/7/2003,0.04039893
WB JIMMY,1/8/2003,0.041681262
WB JIMMY,1/9/2003,0.039429309
WB JIMMY,1/10/2003,0.039753285
WB JIMMY,1/11/2003,0.038778999
WB JIMMY,1/12/2003,0.035477429
WB JIMMY,1/13/2003,0.033111974
WB JIMMY,1/14/2003,0.034806428
WB JIMMY,1/15/2003,0.034131613
WB JIMMY,1/16/2003,0.033111974
WB JIMMY,1/17/2003,0.031391695
WB JIMMY,1/18/2003,0.030695852
WB JIMMY,1/19/2003,0.031044345
WB JIMMY,1/20/2003,0.030695852
WB JIMMY,1/21/2003,0.031044345
WB JIMMY,1/22/2003,0.029643304
WB JIMMY,1/23/2003,0.029995354
WB JIMMY,1/24/2003,0.028935492
WB JIMMY,1/25/2003,0.028579681
WB JIMMY,1/26/2003,0.028935492
WB JIMMY,1/27/2003,0.032427082
WB JIMMY,1/28/2003,0.034806428
WB JIMMY,1/29/2003,0.030346195
WB JIMMY,1/30/2003,0.028935492
WB JIMMY,1/31/2003,0.028579681
WB JIMMY,2/1/2003,0.028222566
WB JIMMY,2/2/2003,0.027864122
WB JIMMY,2/3/2003,0.024945195
WB JIMMY,2/4/2003,0.026050963
WB JIMMY,2/5/2003,0.031391695
WB JIMMY,2/6/2003,0.02568393
WB JIMMY,2/7/2003,0.02457342
WB JIMMY,2/8/2003,0.024199988
WB JIMMY,2/9/2003,0.022306491
WB JIMMY,2/10/2003,0.021535916
WB JIMMY,2/11/2003,0.021922196
WB JIMMY,2/12/2003,0.023069339
WB JIMMY,2/13/2003,0.02457342
WB JIMMY,2/14/2003,0.024199988
WB JIMMY,2/15/2003,0.023069339
WB JIMMY,2/16/2003,0.022688855
WB JIMMY,2/17/2003,0.021922196
WB JIMMY,2/18/2003,0.02382486
WB JIMMY,2/19/2003,0.024945195
WB JIMMY,2/20/2003,0.02382486
WB JIMMY,2/21/2003,0.021922196
WB JIMMY,2/22/2003,0.027864122
WB JIMMY,2/23/2003,0.070146809
WB JIMMY,2/24/2003,0.066558093
WB JIMMY,2/25/2003,0.056885368
WB JIMMY,2/26/2003,0.050966417
WB JIMMY,2/27/2003,0.043898076
WB JIMMY,2/28/2003,0.037138975
WB JIMMY,3/1/2003,0.032770053
WB JIMMY,3/2/2003,0.04608253
WB JIMMY,3/3/2003,0.064602139
WB JIMMY,3/4/2003,0.054835219
WB JIMMY,3/5/2003,0.038452645
WB JIMMY,3/6/2003,0.036808436
WB JIMMY,3/7/2003,0.041041564
WB JIMMY,3/8/2003,0.034469505
WB JIMMY,3/9/2003,0.035142398
WB JIMMY,3/10/2003,0.043898076
WB JIMMY,3/11/2003,0.038778999
WB JIMMY,3/12/2003,0.031044345
WB JIMMY,3/13/2003,0.031391695
WB JIMMY,3/14/2003,0.032427082
WB JIMMY,3/15/2003,0.031737921
WB JIMMY,3/16/2003,0.035477429
WB JIMMY,3/17/2003,0.054245348
WB JIMMY,3/18/2003,0.097475348
WB JIMMY,3/19/2003,0.099459604
WB JIMMY,3/20/2003,0.077967038
WB JIMMY,3/21/2003,0.200097524
WB JIMMY,3/22/2003,0.202109329
WB JIMMY,3/23/2003,0.169570048
WB JIMMY,3/24/2003,0.148665643
WB JIMMY,3/25/2003,0.143806304
WB JIMMY,3/26/2003,0.142250077
WB JIMMY,3/27/2003,0.144250032
WB JIMMY,3/28/2003,0.118485326
WB JIMMY,3/29/2003,0.128466539
WB JIMMY,3/30/2003,0.164898158
WB JIMMY,3/31/2003,0.125935492
WB JIMMY,4/1/2003,0.095979359
